contrast,gender,age,auc.meg_MEAN,hs2_MEAN,hs6_MEAN,bw_MEAN,ses_MEAN,MEd_MEAN,MH_MEAN,PEd_MEAN,PH_MEAN,auc.meg_SD,hs2_SD,hs6_SD,bw_SD,ses_SD,MEd_SD,MH_SD,PEd_SD,PH_SD,auc.meg_IQR,hs2_IQR,hs6_IQR,bw_IQR,ses_IQR,MEd_IQR,MH_IQR,PEd_IQR,PH_IQR
standard-ba,F,21,0.5079279416354557,39.5,43.5,118.83333333333333,55.416666666666664,16.583333333333332,6.083333333333333,17.25,6.166666666666667,0.05359334592443443,1.0422816197795883,1.3247168194790104,7.722556766276085,10.179106352137879,1.9373904857179458,0.7602594484578007,2.3881672090505726,0.8987766368219281,0.06270341760299636,1,1.25,12.25,10.125,1.25,0.25,2.25,1
standard-ba,F,24,0.5079279416354557,39.5,43.5,118.83333333333333,55.416666666666664,16.583333333333332,6.083333333333333,17.25,6.166666666666667,0.05359334592443443,1.0422816197795883,1.3247168194790104,7.722556766276085,10.179106352137879,1.9373904857179458,0.7602594484578007,2.3881672090505726,0.8987766368219281,0.06270341760299636,1,1.25,12.25,10.125,1.25,0.25,2.25,1
standard-ba,F,27,0.5079279416354557,39.5,43.5,118.83333333333333,55.416666666666664,16.583333333333332,6.083333333333333,17.25,6.166666666666667,0.05359334592443443,1.0422816197795883,1.3247168194790104,7.722556766276085,10.179106352137879,1.9373904857179458,0.7602594484578007,2.3881672090505726,0.8987766368219281,0.06270341760299636,1,1.25,12.25,10.125,1.25,0.25,2.25,1
standard-ba,F,30,0.5079279416354557,39.5,43.5,118.83333333333333,55.416666666666664,16.583333333333332,6.083333333333333,17.25,6.166666666666667,0.05359334592443443,1.0422816197795883,1.3247168194790104,7.722556766276085,10.179106352137879,1.9373904857179458,0.7602594484578007,2.3881672090505726,0.8987766368219281,0.06270341760299636,1,1.25,12.25,10.125,1.25,0.25,2.25,1
standard-deviant,M,18,0.49939533874000086,39.111111111111114,43.888888888888886,112.11111111111111,49.333333333333336,16.22222222222222,5.777777777777778,15.222222222222221,5.555555555555555,0.03787456220687592,1.106106080659947,0.8797911453440059,13.775441789807306,13.177696513171732,2.0541970069399014,0.790075771899962,2.874833762767087,1.0717109193395906,0.04320571507837445,1,0,7,20,2,0,5,1
standard-deviant,M,21,0.49939533874000086,39.111111111111114,43.888888888888886,112.11111111111111,49.333333333333336,16.22222222222222,5.777777777777778,15.222222222222221,5.555555555555555,0.03787456220687592,1.106106080659947,0.8797911453440059,13.775441789807306,13.177696513171732,2.0541970069399014,0.790075771899962,2.874833762767087,1.0717109193395906,0.04320571507837445,1,0,7,20,2,0,5,1
standard-deviant,M,24,0.49939533874000086,39.111111111111114,43.888888888888886,112.11111111111111,49.333333333333336,16.22222222222222,5.777777777777778,15.222222222222221,5.555555555555555,0.03787456220687592,1.106106080659947,0.8797911453440059,13.775441789807306,13.177696513171732,2.0541970069399014,0.790075771899962,2.874833762767087,1.0717109193395906,0.04320571507837445,1,0,7,20,2,0,5,1
standard-deviant,M,27,0.49939533874000086,39.111111111111114,43.888888888888886,112.11111111111111,49.333333333333336,16.22222222222222,5.777777777777778,15.222222222222221,5.555555555555555,0.03787456220687592,1.106106080659947,0.8797911453440059,13.775441789807306,13.177696513171732,2.0541970069399014,0.790075771899962,2.874833762767087,1.0717109193395906,0.04320571507837445,1,0,7,20,2,0,5,1
standard-deviant,M,30,0.49939533874000086,39.111111111111114,43.888888888888886,112.11111111111111,49.333333333333336,16.22222222222222,5.777777777777778,15.222222222222221,5.555555555555555,0.03787456220687592,1.106106080659947,0.8797911453440059,13.775441789807306,13.177696513171732,2.0541970069399014,0.790075771899962,2.874833762767087,1.0717109193395906,0.04320571507837445,1,0,7,20,2,0,5,1
standard-deviant,F,18,0.5014331400288268,39.5,43.5,118.83333333333333,55.416666666666664,16.583333333333332,6.083333333333333,17.25,6.166666666666667,0.03885262629876911,1.0451970985368817,1.3284223283101428,7.744158365859922,10.207579432517214,1.9428097703896716,0.7623860524676451,2.394847410096739,0.901290702255376,0.03355126562125632,1,1.25,12.25,10.125,1.25,0.25,2.25,1
standard-deviant,F,21,0.5014331400288268,39.5,43.5,118.83333333333333,55.416666666666664,16.583333333333332,6.083333333333333,17.25,6.166666666666667,0.03885262629876911,1.0451970985368817,1.3284223283101428,7.744158365859922,10.207579432517214,1.9428097703896716,0.7623860524676451,2.394847410096739,0.901290702255376,0.03355126562125632,1,1.25,12.25,10.125,1.25,0.25,2.25,1
standard-deviant,F,24,0.5014331400288268,39.5,43.5,118.83333333333333,55.416666666666664,16.583333333333332,6.083333333333333,17.25,6.166666666666667,0.03885262629876911,1.0451970985368817,1.3284223283101428,7.744158365859922,10.207579432517214,1.9428097703896716,0.7623860524676451,2.394847410096739,0.901290702255376,0.03355126562125632,1,1.25,12.25,10.125,1.25,0.25,2.25,1
standard-deviant,F,27,0.5014331400288268,39.5,43.5,118.83333333333333,55.416666666666664,16.583333333333332,6.083333333333333,17.25,6.166666666666667,0.03885262629876911,1.0451970985368817,1.3284223283101428,7.744158365859922,10.207579432517214,1.9428097703896716,0.7623860524676451,2.394847410096739,0.901290702255376,0.03355126562125632,1,1.25,12.25,10.125,1.25,0.25,2.25,1
standard-deviant,F,30,0.5014331400288268,39.5,43.5,118.83333333333333,55.416666666666664,16.583333333333332,6.083333333333333,17.25,6.166666666666667,0.03885262629876911,1.0451970985368817,1.3284223283101428,7.744158365859922,10.207579432517214,1.9428097703896716,0.7623860524676451,2.394847410096739,0.901290702255376,0.03355126562125632,1,1.25,12.25,10.125,1.25,0.25,2.25,1
